GEO_ID,NAME,S2405_C02_007E
13001,"Appling County, Georgia",12.4
13003,"Atkinson County, Georgia",0
13005,"Bacon County, Georgia",10.9
13007,"Baker County, Georgia",0
13009,"Baldwin County, Georgia",7.6
13011,"Banks County, Georgia",19.7
13013,"Barrow County, Georgia",10.9
13015,"Bartow County, Georgia",21.2
13017,"Ben Hill County, Georgia",1.1
13019,"Berrien County, Georgia",8.4
13021,"Bibb County, Georgia",9.8
13023,"Bleckley County, Georgia",30.1
13025,"Brantley County, Georgia",11.9
13027,"Brooks County, Georgia",0
13029,"Bryan County, Georgia",16.9
13031,"Bulloch County, Georgia",6.6
13033,"Burke County, Georgia",16.3
13035,"Butts County, Georgia",12.5
13037,"Calhoun County, Georgia",0
13039,"Camden County, Georgia",17.9
13043,"Candler County, Georgia",11.4
13045,"Carroll County, Georgia",14.6
13047,"Catoosa County, Georgia",12.4
13049,"Charlton County, Georgia",3.4
13051,"Chatham County, Georgia",15.9
13053,"Chattahoochee County, Georgia",0
13055,"Chattooga County, Georgia",7.2
13057,"Cherokee County, Georgia",17
13059,"Clarke County, Georgia",7
13061,"Clay County, Georgia",1.8
13063,"Clayton County, Georgia",8.8
13065,"Clinch County, Georgia",13.5
13067,"Cobb County, Georgia",26.4
13069,"Coffee County, Georgia",16.3
13071,"Colquitt County, Georgia",0.5
13073,"Columbia County, Georgia",31.7
13075,"Cook County, Georgia",5.6
13077,"Coweta County, Georgia",21.6
13079,"Crawford County, Georgia",3.7
13081,"Crisp County, Georgia",7.1
13083,"Dade County, Georgia",9.5
13085,"Dawson County, Georgia",12.3
13087,"Decatur County, Georgia",16.4
13089,"DeKalb County, Georgia",13.8
13091,"Dodge County, Georgia",0.3
13093,"Dooly County, Georgia",2.1
13095,"Dougherty County, Georgia",3.7
13097,"Douglas County, Georgia",16
13099,"Early County, Georgia",13.9
13101,"Echols County, Georgia",0
13103,"Effingham County, Georgia",13.8
13105,"Elbert County, Georgia",1
13107,"Emanuel County, Georgia",7.6
13109,"Evans County, Georgia",8.4
13111,"Fannin County, Georgia",16
13113,"Fayette County, Georgia",24.4
13115,"Floyd County, Georgia",18.9
13117,"Forsyth County, Georgia",34.3
13119,"Franklin County, Georgia",5.5
13121,"Fulton County, Georgia",22.5
13123,"Gilmer County, Georgia",11.5
13125,"Glascock County, Georgia",0
13127,"Glynn County, Georgia",14.2
13129,"Gordon County, Georgia",9.4
13131,"Grady County, Georgia",9.9
13133,"Greene County, Georgia",21.6
13135,"Gwinnett County, Georgia",18.5
13137,"Habersham County, Georgia",9.5
13139,"Hall County, Georgia",12.8
13141,"Hancock County, Georgia",6.2
13143,"Haralson County, Georgia",5
13145,"Harris County, Georgia",6.2
13147,"Hart County, Georgia",3.7
13149,"Heard County, Georgia",12
13151,"Henry County, Georgia",13.5
13153,"Houston County, Georgia",17
13155,"Irwin County, Georgia",3.6
13157,"Jackson County, Georgia",16.6
13159,"Jasper County, Georgia",3.9
13161,"Jeff Davis County, Georgia",7
13163,"Jefferson County, Georgia",4.9
13165,"Jenkins County, Georgia",0
13167,"Johnson County, Georgia",2.6
13169,"Jones County, Georgia",4.4
13171,"Lamar County, Georgia",23.9
13173,"Lanier County, Georgia",0
13175,"Laurens County, Georgia",3.4
13177,"Lee County, Georgia",18.5
13179,"Liberty County, Georgia",6.1
13181,"Lincoln County, Georgia",0
13183,"Long County, Georgia",0
13185,"Lowndes County, Georgia",10.8
13187,"Lumpkin County, Georgia",0
13189,"McDuffie County, Georgia",29.9
13191,"McIntosh County, Georgia",14.5
13193,"Macon County, Georgia",6
13195,"Madison County, Georgia",11.9
13197,"Marion County, Georgia",13.1
13199,"Meriwether County, Georgia",10.9
13201,"Miller County, Georgia",10.3
13205,"Mitchell County, Georgia",12.7
13207,"Monroe County, Georgia",13.1
13209,"Montgomery County, Georgia",17.8
13211,"Morgan County, Georgia",1.5
13213,"Murray County, Georgia",7.5
13215,"Muscogee County, Georgia",9.3
13217,"Newton County, Georgia",8.6
13219,"Oconee County, Georgia",22.5
13221,"Oglethorpe County, Georgia",19
13223,"Paulding County, Georgia",16.5
13225,"Peach County, Georgia",13.6
13227,"Pickens County, Georgia",13.6
13229,"Pierce County, Georgia",6.8
13231,"Pike County, Georgia",15.5
13233,"Polk County, Georgia",19.5
13235,"Pulaski County, Georgia",0
13237,"Putnam County, Georgia",2.7
13239,"Quitman County, Georgia",0
13241,"Rabun County, Georgia",13.4
13243,"Randolph County, Georgia",4
13245,"Richmond County, Georgia",9.3
13247,"Rockdale County, Georgia",7
13249,"Schley County, Georgia",5.7
13251,"Screven County, Georgia",16.1
13253,"Seminole County, Georgia",26.8
13255,"Spalding County, Georgia",13.5
13257,"Stephens County, Georgia",14.8
13259,"Stewart County, Georgia",19.8
13261,"Sumter County, Georgia",4.3
13263,"Talbot County, Georgia",6.1
13265,"Taliaferro County, Georgia",0
13267,"Tattnall County, Georgia",15.1
13269,"Taylor County, Georgia",0
13271,"Telfair County, Georgia",4.2
13273,"Terrell County, Georgia",4.3
13275,"Thomas County, Georgia",7.3
13277,"Tift County, Georgia",2.3
13279,"Toombs County, Georgia",25.6
13281,"Towns County, Georgia",0
13283,"Treutlen County, Georgia",20.6
13285,"Troup County, Georgia",5.9
13287,"Turner County, Georgia",8.2
13289,"Twiggs County, Georgia",9.8
13291,"Union County, Georgia",4.3
13293,"Upson County, Georgia",16.4
13295,"Walker County, Georgia",15.2
13297,"Walton County, Georgia",14.7
13299,"Ware County, Georgia",8
13301,"Warren County, Georgia",10.1
13303,"Washington County, Georgia",5.8
13305,"Wayne County, Georgia",2.6
13307,"Webster County, Georgia",0
13309,"Wheeler County, Georgia",2.4
13311,"White County, Georgia",16.3
13313,"Whitfield County, Georgia",17.9
13315,"Wilcox County, Georgia",9.9
13317,"Wilkes County, Georgia",0
13319,"Wilkinson County, Georgia",9.7
13321,"Worth County, Georgia",6.4
